steps,id,frequency,subProcessFrequency,ratio,avgDuration,activityNames,minTime,maxTime,totalCost,avgCost
7,1311839531,32382,0,0.36627492676085016,1688587854,"['Request created', 'Evaluating Request (NO registered letter)', 'Network Service Closure', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1494927362000,1551497692000,760977.0,23.5
7,-442488819,28825,0,0.3260414663665464,1564420364,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1494925833000,1551497705000,340423.249999941,11.81
7,358704624,4815,0,0.05446278093859223,1443235114,"['Request created', 'Evaluating Request (WITH registered letter)', 'Network Service Closure', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1494940247000,1551497711000,90570.14999999384,18.810000000000002
8,-587405032,4068,0,0.046013414923819974,2048154270,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Pending Request for acquittance of heirs', 'Request completed with account closure']",1495033026000,1551778726000,68383.07999999619,16.810000000000002
8,-323752684,2416,0,0.02732753452702779,1636936130,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Back-Office Adjustment Requested ', 'Request completed with account closure']",1495456765000,1551697551000,47860.95999999917,19.810000000000002
10,157952424,2096,0,0.023707993530070467,3253805830,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Pending Request for acquittance of heirs', 'Request completed with account closure']",1495011513000,1551778502000,44665.75999999958,21.310000000000002
5,1133271940,2026,0,0.022916218936986053,679520709,"['Request created', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1498127110000,1551497718000,14182.0,7.0
6,1280190589,1783,0,0.020167629992421585,824335654,"['Request created', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Back-Office Adjustment Requested ', 'Request completed with account closure']",1495647203000,1551695717000,26745.0,15.0
8,-1774148682,1767,0,0.01998665294257372,3660530959,"['Request created', 'Evaluating Request (NO registered letter)', 'Network Service Closure', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Back-Office Adjustment Requested ', 'Request completed with account closure']",1493203235000,1551695419000,55660.5,31.5
9,-1388276355,1515,0,0.017136264407469827,3422333902,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1494928399000,1551496991000,24709.6500000005,16.310000000000002
6,604961673,956,0,0.010813378728410003,1942095404,"['Request created', 'Pending Request for Network Information', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Back-Office Adjustment Requested ', 'Request completed with account closure']",1530525343000,1544695937000,10994.0,11.5
9,894087963,764,0,0.008641654130235609,3075249274,"['Request created', 'Evaluating Request (NO registered letter)', 'Network Service Closure', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1494957524000,1551496426000,21392.0,28.0
6,411966570,751,0,0.008494610277234218,723442281,"['Request created', 'Evaluating Request (WITH registered letter)', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1532339321000,1551497618000,12624.309999999952,16.810000000000002
12,-813070792,495,0,0.0055989774796683595,4591312104,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Pending Request for acquittance of heirs', 'Request completed with account closure']",1495560823000,1551777987000,12775.949999999966,25.810000000000002
9,1981038055,390,0,0.0044113155900417375,2693973016,"['Request created', 'Network Service Closure', 'Authorization Requested', 'Network Adjustment Requested', 'Authorization Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1495454552000,1551496717000,5896.799999999966,15.120000000000001
11,242968301,302,0,0.0034159418158784738,4188103782,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1495185518000,1551496548000,6284.620000000033,20.810000000000002
8,-1256559727,202,0,0.0022848352543293105,2906507124,"['Request created', 'Evaluating Request (WITH registered letter)', 'Network Service Closure', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Back-Office Adjustment Requested ', 'Request completed with account closure']",1495452900000,1551695234000,5415.620000000013,26.810000000000002
9,-1313394822,146,0,0.0016514155798617789,2297750055,"['Request created', 'Evaluating Request (NO registered letter)', 'Network Service Closure', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Back-Office Adjustment Requested ', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1497358580000,1550114675000,4672.0,32.0
11,-1133210357,143,0,0.0016174823830153039,4058478056,"['Request created', 'Evaluating Request (NO registered letter)', 'Network Service Closure', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1497288642000,1551496176000,4647.5,32.5
9,699208156,139,0,0.0015722381205533374,2272167389,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Back-Office Adjustment Requested ', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1495726857000,1549942674000,2823.0899999999942,20.310000000000002
14,-1958478136,137,0,0.0015496159893223541,5160979095,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Pending Request for acquittance of heirs', 'Request completed with account closure']",1496753123000,1551777719000,4152.469999999994,30.310000000000002
5,-1105266952,135,0,0.0015269938580913709,1490489504,"['Request created', 'Pending Request for Network Information', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1532281053000,1543572173000,472.5,3.5
9,-240523616,129,0,0.001459127464398421,2884779249,"['Request created', 'Evaluating Request (WITH registered letter)', 'Network Service Closure', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1496164123000,1550199900000,3006.9899999999943,23.310000000000002
7,-440057832,105,0,0.0011876618896266217,953965143,"['Request created', 'Network Service Closure', 'Evaluating Request (WITH registered letter)', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1532942244000,1551497304000,1975.0499999999959,18.810000000000002
11,565856140,85,0,0.000961440577316789,3869910059,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Back-Office Adjustment Requested ', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1496740733000,1549077204000,2108.8499999999967,24.810000000000002
10,1527484030,67,0,0.0007578413962379396,3206223627,"['Request created', 'Network Service Closure', 'Authorization Requested', 'Network Adjustment Requested', 'Authorization Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Pending Request for acquittance of heirs', 'Request completed with account closure']",1499434496000,1551087370000,1348.0399999999984,20.12
13,206019677,65,0,0.0007352192650069563,5667406308,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1494933916000,1550891643000,1645.1499999999976,25.310000000000002
6,1244334614,62,0,0.0007012860681604813,1266411807,"['Request created', 'Network Service Closure', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1498840050000,1548473276000,558.0,9.0
10,421604772,62,0,0.0007012860681604813,4505061855,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Back-Office Adjustment Requested ', 'Request completed with account closure']",1497956306000,1548848598000,1507.219999999998,24.310000000000002
8,-595401062,56,0,0.0006334196744675316,1468980965,"['Request created', 'Evaluating Request (WITH registered letter)', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1532446850000,1551496421000,1193.3599999999983,21.310000000000002
